coreId,length,TN,TC,IC,OC,C
1.5BE,0.5,0.626,7.06,0.113,6.95,1.62005618
1.5BE,1.5,0.745,7.73,0.071,7.66,1.62005618
1.5BE,2.5,0.711,7.47,0.058,7.41,1.62005618
1.5BE,3.5,0.659,6.63,0.092,6.54,1.62005618
1.5BE,4.5,0.618,6.05,0.051,6,1.62005618
1.5BE,5.5,0.563,5.23,0.047,5.18,1.62005618
1.5BE,6.5,0.553,5,0.032,4.97,1.62005618
1.5BE,7.5,0.474,4.24,0.053,4.19,1.62005618
1.5BE,8.5,0.43,3.81,0.043,3.77,1.62005618
1.5BE,9.5,0.376,3.26,0.066,3.19,1.62005618
1.5BE,10.5,0.321,2.78,0.074,2.71,1.62005618
1.5BE,11.5,0.323,2.8,0.036,2.76,1.62005618
1.5BE,12.5,0.324,2.77,0.03,2.74,1.62005618
1.5BE,13.5,0.355,3.08,0.042,3.04,1.62005618
1.5BE,14.5,0.363,3.14,0.05,3.09,1.62005618
1.5BE,15.5,0.363,3.1,0.055,3.05,1.62005618
1.5BE,16.5,0.35,2.95,0.039,2.91,1.62005618
1.5BE,17.5,0.348,2.98,0.043,2.94,1.62005618
1.5BE,18.5,0.339,2.92,0.045,2.88,1.62005618
1.5BE,19.5,0.279,2.83,0.127,2.7,1.62005618
1.5BE,20.5,0.237,1.99,0.042,1.95,1.62005618
1.5BE,21.5,0.223,2.26,0.136,2.12,1.62005618
1.5BE,22.5,0.194,1.63,0.034,1.6,1.62005618
1.5BE,23.5,0.206,1.68,0.043,1.64,1.62005618
1.5BE,24.5,0.193,1.66,0.032,1.63,1.62005618
1.5BE,25.5,0.198,1.7,0.041,1.66,1.62005618
1.5BE,26.5,0.196,1.6,0.039,1.56,1.62005618
1.5BE,27.5,0.197,1.62,0.047,1.57,1.62005618
1.5BE,28.5,0.193,1.52,0.029,1.49,1.62005618
1.5BE,29.5,0.195,1.53,0.033,1.5,1.62005618
1.5BE,30.5,0.176,1.47,0.045,1.43,1.62005618
1.5BE,31.5,0.174,1.42,0.028,1.39,1.62005618
1.5BE,32.5,0.177,1.42,0.035,1.39,1.62005618
1.5BE,33.5,0.177,1.5,0.104,1.4,1.62005618
1.5BE,34.5,0.173,1.76,0.374,1.39,1.62005618
1.5BE,35.5,0.181,1.53,0.097,1.43,1.62005618
1.5BE,36.5,0.186,1.72,0.254,1.47,1.62005618
1.5BE,37.5,0.185,1.82,0.224,1.6,1.62005618
1.5BE,38.5,0.187,1.91,0.36,1.55,1.62005618
1.5BE,39.5,0.187,1.81,0.275,1.54,1.62005618
1.5BE,40.5,0.189,1.7,0.2,1.5,1.62005618
1.5BE,41.5,0.189,1.65,0.126,1.52,1.62005618
1.5BE,42.5,0.186,1.54,0.087,1.45,1.62005618
1.5BE,43.5,0.186,1.55,0.106,1.44,1.62005618
1.5BE,44.5,0.188,1.54,0.07,1.47,1.62005618
1.5BE,45.5,0.187,1.53,0.069,1.46,1.62005618
1.5BE,46.5,0.157,1.31,0.079,1.23,1.62005618
1.5BE,47.5,0.141,1.19,0.091,1.1,1.62005618
1.5BE,48.5,0.115,1.29,0.408,0.88,1.62005618
1.5BE,49.5,0.084,1.85,1.27,0.58,1.62005618
1.5BE,50.5,0.077,1.31,0.75,0.56,1.62005618
1.5BE,51.5,0.072,1.25,0.759,0.49,1.62005618
1.5BE,52.5,0.123,1.53,0.943,0.59,1.62005618
1.5BE,53.5,0.068,1.33,0.959,0.37,1.62005618
1.5BE,54.5,0.059,1.36,1.02,0.34,1.62005618
1.5BE,55.5,0.049,1.61,1.2,0.41,1.62005618
1.5BE,56.5,0.051,1.48,1.09,0.39,1.62005618
1.5BE,57.5,0.071,1.7,1.15,0.55,1.62005618
1.5BE,58.5,0.075,1.57,0.949,0.62,1.62005618
1.5BE,59.5,0.056,1.81,1.28,0.53,1.62005618
1.5BE,60.5,0.053,1.76,1.33,0.43,1.62005618
