"","x"
"1",947.713244
"2",953.171226
"3",958.629208
"4",964.08719
"5",969.545172
"6",975.003154
"7",980.461136
"8",985.919118
"9",991.3771
"10",996.835082
"11",1002.293064
"12",1007.751047
"13",1013.209029
"14",1018.667011
"15",1024.124993
"16",1029.582975
"17",1035.040957
"18",1040.498939
"19",1045.956921
"20",1051.414903
"21",1056.872885
"22",1062.330867
"23",1067.788849
"24",1073.246831
"25",1078.704813
"26",1084.162795
"27",1089.620777
"28",1095.078759
"29",1100.536741
"30",1105.994723
"31",1111.452705
"32",1116.910687
"33",1122.368669
"34",1127.826651
"35",1133.284633
"36",1138.742615
"37",1144.200597
"38",1149.658579
"39",1155.116561
"40",1160.574543
"41",1166.032525
"42",1171.490507
"43",1176.948489
"44",1182.406471
"45",1187.864453
"46",1193.322435
"47",1198.780417
"48",1204.238399
"49",1209.696381
"50",1215.154363
"51",1220.612345
"52",1226.070327
"53",1231.528309
"54",1236.986291
"55",1242.444273
"56",1247.902255
"57",1253.360238
"58",1258.81822
"59",1264.276202
"60",1269.734184
"61",1275.192166
"62",1280.650148
"63",1286.10813
"64",1291.566112
"65",1297.024094
"66",1302.482076
"67",1307.940058
"68",1313.39804
"69",1318.856022
"70",1324.314004
"71",1329.771986
"72",1335.229968
"73",1340.68795
"74",1346.145932
"75",1351.603914
"76",1357.061896
"77",1362.519878
"78",1367.97786
"79",1373.435842
"80",1378.893824
"81",1384.351806
"82",1389.809788
"83",1395.26777
"84",1400.725752
"85",1406.183734
"86",1411.641716
"87",1417.099698
"88",1422.55768
"89",1428.015662
"90",1433.473644
"91",1438.931626
"92",1444.389608
"93",1449.84759
"94",1455.305572
"95",1460.763554
"96",1466.221536
"97",1471.679518
"98",1477.1375
"99",1482.595482
"100",1488.053464
"101",1493.511446
"102",1498.969429
"103",1504.427411
"104",1509.885393
"105",1515.343375
"106",1520.801357
"107",1526.259339
"108",1531.717321
"109",1537.175303
"110",1542.633285
"111",1548.091267
"112",1553.549249
"113",1559.007231
"114",1564.465213
"115",1569.923195
"116",1575.381177
"117",1580.839159
"118",1586.297141
"119",1591.755123
"120",1597.213105
"121",1602.671087
"122",1608.129069
"123",1613.587051
"124",1619.045033
"125",1624.503015
"126",1629.960997
"127",1635.418979
"128",1640.876961
"129",1646.334943
"130",1651.792925
"131",1657.250907
"132",1662.708889
"133",1668.166871
"134",1673.624853
"135",1679.082835
"136",1684.540817
"137",1689.998799
"138",1695.456781
"139",1700.914763
"140",1706.372745
"141",1711.830727
"142",1717.288709
"143",1722.746691
"144",1728.204673
"145",1733.662655
"146",1739.120637
"147",1744.578619
"148",1750.036602
"149",1755.494584
"150",1760.952566
"151",1766.410548
"152",1771.86853
"153",1777.326512
"154",1782.784494
"155",1788.242476
"156",1793.700458
"157",1799.15844
"158",1804.616422
"159",1810.074404
"160",1815.532386
"161",1820.990368
"162",1826.44835
"163",1831.906332
"164",1837.364314
"165",1842.822296
"166",1848.280278
"167",1853.73826
"168",1859.196242
"169",1864.654224
"170",1870.112206
"171",1875.570188
"172",1881.02817
"173",1886.486152
"174",1891.944134
"175",1897.402116
"176",1902.860098
"177",1908.31808
"178",1913.776062
"179",1919.234044
"180",1924.692026
"181",1930.150008
"182",1935.60799
"183",1941.065972
"184",1946.523954
"185",1951.981936
"186",1957.439918
"187",1962.8979
"188",1968.355882
"189",1973.813864
"190",1979.271846
"191",1984.729828
"192",1990.18781
"193",1995.645793
"194",2001.103775
"195",2006.561757
"196",2012.019739
"197",2017.477721
"198",2022.935703
"199",2028.393685
"200",2033.851667
"201",2039.309649
"202",2044.767631
"203",2050.225613
"204",2055.683595
"205",2061.141577
"206",2066.599559
"207",2072.057541
"208",2077.515523
"209",2082.973505
"210",2088.431487
"211",2093.889469
"212",2099.347451
"213",2104.805433
"214",2110.263415
"215",2115.721397
"216",2121.179379
"217",2126.637361
"218",2132.095343
"219",2137.553325
"220",2143.011307
"221",2148.469289
"222",2153.927271
"223",2159.385253
"224",2164.843235
"225",2170.301217
"226",2175.759199
"227",2181.217181
"228",2186.675163
"229",2192.133145
"230",2197.591127
"231",2203.049109
"232",2208.507091
"233",2213.965073
"234",2219.423055
"235",2224.881037
"236",2230.339019
"237",2235.797001
"238",2241.254984
"239",2246.712966
"240",2252.170948
"241",2257.62893
"242",2263.086912
"243",2268.544894
"244",2274.002876
"245",2279.460858
"246",2284.91884
"247",2290.376822
"248",2295.834804
"249",2301.292786
"250",2306.750768
"251",2312.20875
"252",2317.666732
"253",2323.124714
"254",2328.582696
"255",2334.040678
"256",2339.49866
"257",2344.956642
"258",2350.414624
"259",2355.872606
"260",2361.330588
"261",2366.78857
"262",2372.246552
"263",2377.704534
"264",2383.162516
"265",2388.620498
"266",2394.07848
"267",2399.536462
"268",2404.994444
"269",2410.452426
"270",2415.910408
"271",2421.36839
"272",2426.826372
"273",2432.284354
"274",2437.742336
"275",2443.200318
"276",2448.6583
"277",2454.116282
"278",2459.574264
"279",2465.032246
"280",2470.490228
"281",2475.94821
"282",2481.406192
"283",2486.864175
"284",2492.322157
"285",2497.780139
"286",2503.238121
"287",2508.696103
"288",2514.154085
